Consecutivo,Estado,Region,Municipio,Uso Suelo,Acto Juridico,Año
184,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
185,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
186,JALISCO,GUADALAJARA,TONALA,URBANO,Hipoteca,2017
187,JALISCO,GUADALAJARA,TONALA,HABITACIONAL,Hipoteca,2017
188,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
189,JALISCO,GUADALAJARA,TLAQUEPAQUE,HABITACIONAL,Hipoteca,2017
190,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
191,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
192,JALISCO,GUADALAJARA,GUADALAJARA,,Hipoteca,2017
193,JALISCO,GUADALAJARA,TONALA,NO CONSTA,Hipoteca,2017
194,JALISCO,GUADALAJARA,TONALA,HABITACIONAL,Hipoteca,2017
195,JALISCO,GUADALAJARA,TLAQUEPAQUE,HABITACIONAL,Hipoteca,2017
196,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
197,JALISCO,GUADALAJARA,TONALA,HABITACIONAL,Hipoteca,2017
198,JALISCO,GUADALAJARA,TONALA,HABITACIONAL,Hipoteca,2017
199,JALISCO,GUADALAJARA,TLAQUEPAQUE,HABITACIONAL,Hipoteca,2017
200,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
201,JALISCO,GUADALAJARA,TLAQUEPAQUE,HABITACIONAL,Hipoteca,2017
202,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
203,JALISCO,GUADALAJARA,TLAQUEPAQUE,HABITACIONAL,Hipoteca,2017
204,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
205,JALISCO,GUADALAJARA,TONALA,HABITACIONAL,Hipoteca,2017
206,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
207,JALISCO,GUADALAJARA,TLAJOMULCO DE ZUÑIGA,RUSTICO,Hipoteca,2017
208,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
209,JALISCO,GUADALAJARA,ZAPOPAN,NO ESPECIFICA,Hipoteca,2017
210,JALISCO,GUADALAJARA,TLAQUEPAQUE,HABITACIONAL,Hipoteca,2017
211,JALISCO,GUADALAJARA,GUADALAJARA,NO CONSTA,Hipoteca,2017
212,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
213,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
214,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
215,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
216,JALISCO,GUADALAJARA,TLAQUEPAQUE,HABITACIONAL,Hipoteca,2017
217,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
218,JALISCO,GUADALAJARA,TONALA,HABITACIONAL,Hipoteca,2017
219,JALISCO,GUADALAJARA,TLAJOMULCO DE ZUÑIGA,URBANO,Hipoteca,2017
220,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
221,JALISCO,GUADALAJARA,TLAQUEPAQUE,HABITACIONAL,Hipoteca,2017
222,JALISCO,GUADALAJARA,TLAQUEPAQUE,HABITACIONAL,Hipoteca,2017
223,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
224,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
225,JALISCO,GUADALAJARA,ZAPOPAN,URBANO,Hipoteca,2017
226,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
227,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
228,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
229,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
230,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
231,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
232,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
233,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
